id;dh_id;area_id;created_at
fe1ee04a-adf1-462b-90fb-30c0f67b1fee;30b7dc83-a42d-43fb-9985-12d9b611d9f2;a714c5a0-6fec-42b8-b2ef-ee67ce6f0b5f;2026-03-27 19:55:07.494457+00
f1dc90a5-6c81-4362-a722-8d5e9f4c5939;30b7dc83-a42d-43fb-9985-12d9b611d9f2;115e5590-d04e-41b2-ae64-d88d8719b84d;2026-03-27 19:55:07.494457+00
20f4b338-84c8-40dc-b2dc-792aa410d18d;30b7dc83-a42d-43fb-9985-12d9b611d9f2;572b1a2d-e305-4cba-b26f-8545f8c34ee1;2026-03-27 19:55:07.494457+00
662a9341-2ec1-4176-8f40-712b8a341648;30b7dc83-a42d-43fb-9985-12d9b611d9f2;44ba533b-74e5-403a-bc10-b8bda0be1795;2026-03-27 19:55:07.494457+00
a179b692-1303-4a96-9d4e-019fc6fc60c3;6c0873b2-e67b-4159-ab3a-18bf68fe640c;64314cea-2a48-4208-8eea-e7e290da60f5;2026-03-27 19:55:07.494457+00
0f757f5e-c85f-4e48-82db-271dca1892ae;6c0873b2-e67b-4159-ab3a-18bf68fe640c;0efa904e-ff3b-4851-8c9e-993d5e53729d;2026-03-27 19:55:07.494457+00
0285a0f2-948c-4b8d-85c5-a24334ea8959;6c0873b2-e67b-4159-ab3a-18bf68fe640c;806d0156-0a3d-4094-a61c-d5cd4fa6e168;2026-03-27 19:55:07.494457+00
e7527e97-7818-430a-8838-f63b479155e3;6c0873b2-e67b-4159-ab3a-18bf68fe640c;b8b5934f-eac9-46b7-861f-f56a07167cd7;2026-03-27 19:55:07.494457+00
9bf87da7-a14f-4cc3-9998-79d53297e221;6c0873b2-e67b-4159-ab3a-18bf68fe640c;62b29650-4bfd-4d2c-9783-c5c6ce218a5e;2026-03-27 19:55:07.494457+00
a9231a7e-e195-4788-b67d-6eedeee403f9;07b67ba0-a333-4f69-898e-091a59adbf99;2d90ffa6-66c5-4d6e-b26d-cc98a468b4f3;2026-03-27 19:55:07.494457+00
28c797f8-b5ab-439d-a8e2-21dd3269da91;07b67ba0-a333-4f69-898e-091a59adbf99;9b64d822-f604-4274-835b-dcb334e0a59e;2026-03-27 19:55:07.494457+00
59c3754c-1287-4468-8f61-8d0b10c2a9d4;07b67ba0-a333-4f69-898e-091a59adbf99;81224b36-cb2d-4aa6-b501-399bbb75aae7;2026-03-27 19:55:07.494457+00
0692aaf0-b2d6-476b-bdc0-3fba29689c9a;07b67ba0-a333-4f69-898e-091a59adbf99;05968acb-5749-42b9-ba43-230733f59dfc;2026-03-27 19:55:07.494457+00
b6d31fc3-1d1f-4017-957d-f8550d5d02fb;07b67ba0-a333-4f69-898e-091a59adbf99;16c4c301-bc0e-4115-8582-f4ccab8d42a2;2026-03-27 19:55:07.494457+00
8d524eb1-f517-4138-a100-691a62e3c396;07b67ba0-a333-4f69-898e-091a59adbf99;6f44588b-c5e8-4f5a-b612-440ed2bd086a;2026-03-27 19:55:07.494457+00
a8ddd822-6fc2-4a4c-8149-96207e7e765d;07b67ba0-a333-4f69-898e-091a59adbf99;04fc36b8-32e5-4311-8a78-ab8b3ff3b179;2026-03-27 19:55:07.494457+00
d701980b-a5f6-417f-9d2d-3123d15ce773;07b67ba0-a333-4f69-898e-091a59adbf99;0aa32472-37bf-4b58-94d4-09f622f056ea;2026-03-27 19:55:07.494457+00
e4e0ba5f-dec0-4ce6-8499-54fe4d12f192;07b67ba0-a333-4f69-898e-091a59adbf99;dce3ed5b-29f5-4b2c-bccf-d26a4ce6fdff;2026-03-27 19:55:07.494457+00
4d74fc9d-6471-42c1-b63e-161f5b602414;07b67ba0-a333-4f69-898e-091a59adbf99;b686e8f0-b045-45b6-a0a5-8bee595e3002;2026-03-27 19:55:07.494457+00
5d108dc6-69bf-4c85-9e59-b5685efacdff;07b67ba0-a333-4f69-898e-091a59adbf99;752cf588-4c21-4236-8862-ffefe38bb759;2026-03-27 19:55:07.494457+00
