product_id;product_name;product_category;addon_type;billing_type;network_capability;is_exclusive;serial_required;warranty_value;warranty_unit;status;created_at;updated_at;billing_frequency
36f61131-dc3d-4bfb-b3d4-4595e83e8168;gpfi1000;WIFI_PLAN;;RECURRING;BOTH;false;false;;;true;2026-03-18 19:18:11.847103+00;2026-03-18 19:18:11.847103+00;MONTHLY
60c257a9-d6f5-422c-9203-3b1e0e43ad6e;gpfi3000;WIFI_PLAN;;RECURRING;5G;false;false;;;true;2026-03-18 19:18:34.292395+00;2026-03-18 19:18:34.292395+00;MONTHLY
cd20fd78-e212-41d5-b96a-d3a50cd68556;GPShield;ADDON;DIGITAL;RECURRING;BOTH;false;false;;;true;2026-03-18 20:01:29.923469+00;2026-03-18 20:01:29.923469+00;MONTHLY
2d1723f4-5651-41a0-afa5-08137de402a0;Hoichoi OTT;ADDON;DIGITAL;RECURRING;BOTH;false;false;;;true;2026-03-18 20:02:57.119419+00;2026-03-18 20:02:57.119419+00;MONTHLY
67348ee5-f7ac-4dd2-9141-b3eb700dc939;Huawei Pro;CPE;;ONE_TIME;4G;false;true;24;MONTHS;true;2026-03-18 19:59:12.074263+00;2026-03-18 20:08:59.086923+00;ONE_TIME
207ac6a7-2782-4e5f-9503-5904fbe01601;Huawei Basic;CPE;;ONE_TIME;4G;false;true;24;MONTHS;true;2026-03-18 19:59:41.05004+00;2026-03-18 20:08:59.086923+00;ONE_TIME
497400ed-a025-4980-bd57-ff9c5db5895c;Huawei 5G Pro;CPE;;ONE_TIME;BOTH;false;true;12;MONTHS;true;2026-03-18 20:00:11.349193+00;2026-03-18 20:08:59.086923+00;ONE_TIME
782966ac-da78-45ff-b33a-a95dd8aec3ce;Huawei Mesh Basic;ADDON;PHYSICAL;ONE_TIME;4G;false;true;24;MONTHS;true;2026-03-18 20:01:02.536652+00;2026-03-18 20:08:59.086923+00;ONE_TIME
1765cc23-f312-48f4-87cd-1f9057a7b920;gpfi SIM;SIM;;ONE_TIME;BOTH;false;false;;;true;2026-03-18 20:11:43.660271+00;2026-03-18 20:11:43.660271+00;ONE_TIME
8498358a-ecd8-4a27-9e4a-0b5ed4138bf4;gpfi600;WIFI_PLAN;;RECURRING;BOTH;true;false;;;true;2026-03-18 21:33:35.448635+00;2026-03-18 21:34:30.469319+00;MONTHLY
f86e1857-1e1d-4547-aec3-80c056d9c021;Antenna;ADDON;PHYSICAL;ONE_TIME;BOTH;false;true;;;true;2026-03-24 09:29:02.483545+00;2026-03-24 09:29:02.483545+00;ONE_TIME
4e6c7c5d-ede7-417f-ad9d-3889dfb4330d;gpfi1500;WIFI_PLAN;;RECURRING;4G;false;false;;;true;2026-03-24 09:29:50.54572+00;2026-03-24 09:29:50.54572+00;MONTHLY
