price_version_id;product_id;base_price_bdt;start_date;end_date;status;created_at;updated_at
8fe7aba5-7cb0-46bb-af6e-105b701a3d58;36f61131-dc3d-4bfb-b3d4-4595e83e8168;1000;2026-03-20 00:00:00+00;;true;2026-03-19 18:58:06.977823+00;2026-03-19 18:58:06.977823+00
47f3d62c-59f6-41ba-8e88-c721d53a4e5d;60c257a9-d6f5-422c-9203-3b1e0e43ad6e;3000;2026-03-20 00:00:00+00;;true;2026-03-19 19:00:14.083596+00;2026-03-19 19:00:14.083596+00
efd1e35a-dbac-4582-95a3-d187624eb001;8498358a-ecd8-4a27-9e4a-0b5ed4138bf4;600;2026-03-20 00:00:00+00;;true;2026-03-19 19:01:38.034899+00;2026-03-19 19:01:38.034899+00
102db7f0-16a8-4620-add2-6ed5e527134b;cd20fd78-e212-41d5-b96a-d3a50cd68556;300;2026-03-20 00:00:00+00;;true;2026-03-19 19:02:40.630147+00;2026-03-19 19:02:40.630147+00
752146de-2162-4cf9-9712-07b59b596808;2d1723f4-5651-41a0-afa5-08137de402a0;25;2026-03-20 00:00:00+00;2026-03-22 00:00:00+00;false;2026-03-19 19:03:13.482647+00;2026-03-19 19:03:13.482647+00
5b7fb45d-e780-4b60-ae2d-e5c2f1be1787;2d1723f4-5651-41a0-afa5-08137de402a0;30;2026-03-23 00:00:00+00;;true;2026-03-19 19:03:31.113047+00;2026-03-19 19:03:31.113047+00
57a361e5-f95d-4d2e-b918-301c656fe0ef;497400ed-a025-4980-bd57-ff9c5db5895c;6000;2026-03-20 00:00:00+00;;true;2026-03-19 19:03:58.285755+00;2026-03-19 19:03:58.285755+00
6e581376-762d-4fd8-a4d5-c30ae3a649ca;207ac6a7-2782-4e5f-9503-5904fbe01601;4000;2026-03-20 00:00:00+00;;true;2026-03-19 19:04:27.177707+00;2026-03-19 19:04:27.177707+00
b4ccf3b8-e0e2-4945-8ac2-64fb25edb041;782966ac-da78-45ff-b33a-a95dd8aec3ce;2000;2026-03-20 00:00:00+00;;true;2026-03-19 19:05:13.275545+00;2026-03-19 19:05:13.275545+00
04a54842-3ff9-4ed8-aacc-6a5f8c268673;67348ee5-f7ac-4dd2-9141-b3eb700dc939;3000;2026-03-20 00:00:00+00;;true;2026-03-19 19:06:10.110097+00;2026-03-19 19:06:10.110097+00
9315ea8f-318b-4912-b209-e12ba5394f81;1765cc23-f312-48f4-87cd-1f9057a7b920;300;2026-03-20 00:00:00+00;;true;2026-03-19 19:09:01.057581+00;2026-03-19 19:09:01.057581+00
f442e423-a834-4327-a85c-dae187b4969a;4e6c7c5d-ede7-417f-ad9d-3889dfb4330d;1500;2026-03-24 00:00:00+00;;false;2026-03-24 09:30:48.127573+00;2026-03-24 09:31:39.663134+00
1908a2f2-4694-4abc-bff0-7b09aa51f256;4e6c7c5d-ede7-417f-ad9d-3889dfb4330d;1500;2026-03-24 00:00:00+00;;true;2026-03-24 09:32:21.837994+00;2026-03-24 09:32:21.837994+00
2126b467-6cfb-47c5-8889-ff291381786e;f86e1857-1e1d-4547-aec3-80c056d9c021;500;2026-03-24 00:00:00+00;;true;2026-03-24 10:12:44.856527+00;2026-03-24 10:12:44.856527+00
